Município,Semana 1,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 2,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 3,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 4,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 5,Semana 50,Semana 51,Semana 52,Semana 53,Semana 6,Semana 7,Semana 8,Semana 9
"Alfenas,Machado",52.4,10.2,7.2,15.0,74.0,0.2,19.6,5.6000000000000005,0.0,0.0,0.0,132.8,0.0,0.0,17.599999999999998,0.0,0.0,0.0,0.0,12.8,0.0,0.0,19.6,0.0,0.0,2.0,0.2,0.0,6.8,0.0,0.0,1.6,2.2,48.2,0.0,43.2,0.0,0.0,0.0,30.2,0.4,3.4000000000000004,0.0,0.0,30.2,21.4,47.400000000000006,99.4,31.8,9.2,63.0,38.8,57.8
"Almenara,Jacinto",42.2,1.7999999999999998,83.60000000000001,0.0,1.2000000000000002,21.8,33.599999999999994,21.0,4.4,0.2,9.4,38.6,2.8,0.0,18.4,24.200000000000003,7.2,11.6,4.0,1.6,0.4,0.0,0.0,1.4,26.4,17.8,1.4,4.8,0.2,0.0,1.6,1.2,0.0,143.0,3.8,2.6,8.8,6.0,11.8,6.6,82.0,42.0,29.2,0.0,38.4,10.8,0.0,0.6000000000000001,28.8,20.4,12.6,122.0,21.6
Araxá,65.2,95.4,76.4,39.0,142.8,8.600000000000001,59.6,0.8,0.0,0.0,0.0,17.2,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.8,0.0,34.4,40.8,34.2,43.0,123.8,84.8,70.8,42.2,71.80000000000001,25.2,77.0,105.0,150.2,53.8,53.0,10.4,44.8,4.6000000000000005
Araçuaí,29.4,0.0,1.2,0.2,2.4000000000000004,24.4,5.0,1.0,0.0,0.6000000000000001,1.6,0.6000000000000001,0.0,0.0,0.0,4.8,0.0,0.0,2.0,0.0,0.2,0.0,0.0,0.6,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.2,9.8,56.6,3.4000000000000004,32.4,31.4,3.2,7.2,9.4,7.800000000000001,24.0,26.6,0.8,2.2,7.4,0.4,1.2
Barbacena,80.60000000000001,31.6,31.200000000000003,123.4,76.2,2.6,5.8,2.6,0.2,0.0,0.4,77.8,0.0,0.2,11.2,0.6000000000000001,0.6000000000000001,0.0,0.0,10.8,0.0,0.2,27.6,0.0,0.6000000000000001,1.0,0.0,0.0,7.2,0.0,0.0,69.2,23.8,99.8,0.0,58.4,30.2,92.4,4.199999999999999,123.6,119.2,15.2,11.8,73.8,80.39999999999999,35.0,72.8,149.8,49.60000000000001,61.6,39.4,113.0,34.800000000000004
"Belo Horizonte,Nova Lima,Santa Luzia",193.2,94.0,40.0,133.2,74.79999999999998,112.8,0.8,118.2,0.2,0.0,0.0,66.2,0.0,0.2,0.4,0.0,0.2,0.0,0.2,0.0,0.0,0.2,143.8,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,2.0,148.4,0.0,159.2,58.2,111.0,227.8,187.2,143.60000000000002,118.2,7.6000000000000005,118.2,125.6,16.4,172.4,427.4,35.2,117.80000000000001,68.2,210.2,12.2
Caratinga,89.39999999999999,21.6,5.0,50.4,5.6,21.2,0.0,18.200000000000003,0.4,1.0,0.6000000000000001,28.8,0.6000000000000001,0.4,34.400000000000006,0.2,0.4,0.2,0.4,0.2,0.4,0.0,0.4,0.0,4.199999999999999,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.4,0.0,80.0,0.4,12.2,53.8,40.0,16.6,28.2,2.6,103.0,113.4,26.2,107.8,133.0,48.6,19.4,49.6,90.2,15.4
"Coronel Fabriciano,Timóteo",84.6,41.0,11.2,149.2,22.6,2.8,1.8,1.4,0.2,0.2,0.2,92.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,34.2,93.8,134.0,53.2,108.0,67.0,48.6,70.6,98.4,32.4,2.2,13.4,197.0,29.6
Curvelo,117.2,5.4,0.6000000000000001,52.400000000000006,1.4,1.6,0.0,0.0,0.0,0.0,0.0,63.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,59.400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,1.6,19.2,27.0,18.0,47.0,29.4,9.0,24.2,68.6,90.6,51.8,112.4,70.39999999999999,25.2,41.400000000000006,3.2,0.0
"Diamantina,Itamarandiba",138.0,6.4,47.6,56.0,10.8,20.6,3.0,3.0,4.4,0.2,1.2000000000000002,43.6,0.0,0.0,0.2,0.0,0.4,0.2,1.4,0.0,0.2,0.0,58.8,1.2000000000000002,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,53.6,1.7999999999999998,83.80000000000001,134.6,25.200000000000003,62.6,52.8,1.6,17.0,21.4,51.0,85.6,143.6,47.4,92.0,39.8,163.0,20.2
Divinópolis,144.6,101.8,55.0,28.0,37.6,10.4,1.6,34.8,0.2,0.2,0.2,4.4,0.0,0.2,12.2,0.2,0.4,0.2,0.0,0.0,0.0,0.0,70.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,29.2,0.2,32.2,6.000000000000001,84.4,24.4,148.0,78.4,0.6000000000000001,3.6,56.8,19.4,39.2,69.6,152.2,38.400000000000006,33.2,43.0,37.0,12.8
Formiga,0.0,30.6,0.4,35.2,126.2,26.6,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,20.8,0.0,35.8,9.8,80.2,69.19999999999999,122.2,39.0,1.4,16.2,33.2,1.7999999999999998,49.4,39.6,82.2,92.0,1.0,0.0,28.000000000000004,14.400000000000002
Governador Valadares,107.2,15.2,58.0,0.0,1.6,20.2,0.0,16.400000000000002,0.0,0.0,3.6000000000000005,0.0,0.0,0.0,0.0,0.4,0.0,0.2,2.2,0.0,0.0,0.0,20.0,0.0,1.8,8.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.6,0.0,46.0,0.0,7.800000000000001,39.0,15.0,42.6,78.80000000000001,1.6,42.6,43.2,8.6,0.0,0.0,0.0,5.6,33.2,135.6,12.0
Itaobim,81.39999999999999,3.8,11.0,0.0,0.2,17.6,0.8,2.2,0.0,0.0,5.199999999999999,31.6,0.0,0.0,0.0,1.8,0.6000000000000001,0.4,1.2,2.4000000000000004,1.6,0.0,0.0,0.4,3.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.6,0.0,3.2,8.2,5.6,27.8,21.0,55.8,10.8,11.6,0.0,41.2,3.2,26.4,51.2,19.0,13.8,11.8,81.2,4.4
Ituiutaba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,203.4,30.6,44.2,5.4,57.2,0.0,29.2,43.2,19.4,27.6,0.0,0.0,0.0,0.0
"Janaúba,Monte Azul",83.6,1.6,0.0,4.2,0.0,5.8,0.0,0.0,0.0,0.0,0.0,52.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.8,0.0,11.8,32.6,44.8,10.6,18.8,98.8,26.6,3.4000000000000004,25.6,34.8,0.0,9.4,29.4,7.8,12.400000000000002,10.6,263.40000000000003,50.2
Januária,84.4,11.6,0.0,12.8,4.4,64.6,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.2,0.0,19.2,17.200000000000003,28.4,24.6,32.8,93.4,79.0,5.4,19.6,23.0,0.2,30.0,34.800000000000004,34.0,23.0,32.8,124.0,0.0
Juiz de Fora,62.8,51.0,26.6,30.0,40.8,0.2,0.6000000000000001,6.4,0.4,0.0,0.0,68.6,0.0,0.0,33.4,0.0,0.0,0.0,0.0,9.0,1.2,0.0,49.8,0.0,0.4,7.800000000000001,0.2,0.0,14.4,0.0,0.0,11.4,9.0,64.8,0.8,52.0,80.2,87.8,4.6,96.0,90.6,57.0,0.8,33.0,56.6,77.80000000000001,44.8,124.0,12.2,36.0,136.60000000000002,70.6,50.4
Manhuaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mantena,58.0,0.6000000000000001,2.8,6.6000000000000005,1.2000000000000002,5.2,9.4,2.6,0.0,0.0,27.6,34.6,0.0,0.2,0.4,0.2,0.0,0.4,9.8,0.0,0.8,0.0,1.8,0.0,22.4,18.6,2.4,0.0,0.0,0.0,0.0,0.0,1.4,111.6,1.2,39.0,0.0,47.2,91.4,93.0,92.6,75.2,6.4,37.4,27.200000000000003,13.4,57.8,92.2,7.8,36.8,26.6,72.8,0.0
Montes Claros,86.2,0.6000000000000001,2.4000000000000004,14.0,0.6000000000000001,89.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.6,0.0,15.2,5.0,48.4,20.8,13.2,66.0,44.8,65.8,25.4,65.4,3.0000000000000004,65.6,33.599999999999994,2.0,51.99999999999999,22.2,229.8,1.0
Muriaé,155.79999999999998,17.0,1.7999999999999998,106.8,66.2,1.7999999999999998,0.0,5.0,0.0,0.0,0.0,46.2,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,12.4,84.6,0.0,50.0,18.8,27.0,56.2,73.0,46.4,30.6,17.2,63.8,48.8,65.19999999999999,26.6,31.2,12.0,4.0,33.2,97.4,110.8
"Oliveira,Santo Antônio do Amparo",37.2,1.7999999999999998,0.0,48.0,128.0,15.599999999999998,3.8,7.2,0.0,0.0,0.0,77.4,0.0,0.0,5.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.2,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,28.0,0.0,73.6,32.0,86.60000000000001,23.2,117.2,35.0,72.0,5.6000000000000005,170.0,14.0,26.8,33.2,105.6,15.8,2.6,57.4,41.6,25.200000000000003
Passos,6.2,36.0,10.8,33.0,85.0,14.8,18.4,0.0,0.4,0.2,0.2,37.0,0.0,0.0,57.400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.8,43.2,0.0,21.6,17.6,76.8,7.6,62.6,166.8,6.800000000000001,22.2,107.4,54.8,28.6,33.0,102.2,29.200000000000003,9.2,61.2,57.4,6.200000000000001
Patos de Minas,135.79999999999998,3.4000000000000004,0.4,22.6,56.0,10.2,0.0,0.4,0.0,0.0,0.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8,0.0,19.0,0.0,5.6000000000000005,34.8,99.2,63.6,105.8,5.6,92.4,62.6,54.6,77.6,96.6,56.6,78.4,99.8,41.8,42.400000000000006,72.4,21.8
"Patrocínio,Monte Carmelo",73.4,31.0,12.0,104.0,140.6,12.2,0.0,32.0,0.2,0.0,0.0,27.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.4,65.0,1.2,27.0,14.4,0.0,0.0,0.0,0.2,0.0,0.0,0.2,27.200000000000006,0.0,0.0,0.0,0.2,17.0,34.8,31.4,6.0
Pirapora,73.19999999999999,42.0,2.4000000000000004,12.999999999999998,37.0,79.80000000000001,0.0,0.0,0.0,0.0,1.0,40.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,149.0,0.0,31.4,15.2,19.8,39.0,25.4,63.6,37.0,3.6,19.6,19.4,18.4,59.2,26.4,7.800000000000001,115.4,10.0,255.8,21.8
Salinas,34.0,83.0,55.8,1.0,5.0,9.0,0.0,3.6,0.0,0.0,5.4,69.8,0.8,0.0,0.0,2.2,0.0,0.0,1.8,0.0,0.4,0.0,0.0,4.4,0.4,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.4,0.0,0.4,3.0,22.4,46.0,19.8,60.8,36.2,69.0,113.79999999999998,139.0,1.2000000000000002,62.6,73.60000000000001,25.4,123.2,33.6,184.4,2.8000000000000003
Sete Lagoas,100.4,64.0,5.0,58.8,8.8,60.00000000000001,0.0,20.4,0.2,0.4,0.6000000000000001,76.6,0.4,0.6000000000000001,0.4,0.4,1.0,0.4,0.2,0.4,0.2,0.0,17.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.2,0.0,70.2,43.8,52.4,80.6,38.8,52.6,26.2,0.0,0.0,29.8,0.6000000000000001,98.4,145.6,104.2,36.4,64.60000000000001,30.8,59.6
"Teófilo Otoni,Malacacheta",64.0,0.0,26.6,0.8,9.8,20.0,6.4,7.4,0.2,0.0,26.2,39.0,0.0,0.0,2.0,2.4,3.2,5.4,0.0,0.2,3.8,0.0,0.0,0.0,5.8,6.800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,14.4,94.2,91.6,32.8,16.0,133.8,13.0,16.2,27.4,21.8,118.8,37.8,83.6,7.2
"Turmalina,Minas Novas,Capelinha",144.8,47.6,44.6,20.0,25.399999999999995,48.4,2.8000000000000003,4.4,0.4,0.0,1.8,30.0,0.2,1.0,1.2000000000000002,1.6,0.0,0.0,0.0,0.8,1.4,0.6000000000000001,0.2,1.2000000000000002,1.6,2.4000000000000004,0.4,0.4,0.2,0.2,0.2,0.0,0.0,154.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.2,0.0,0.0,0.0,0.0,47.400000000000006,6.0,81.6,7.6
Uberaba,74.8,14.4,153.39999999999998,87.60000000000001,149.2,30.2,16.6,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,48.8,0.0,51.2,25.8,81.0,93.2,104.2,64.39999999999999,61.6,36.400000000000006,35.8,10.0,55.6,34.2,102.4,17.4,74.0,18.8,15.2,1.8
"Unaí,Paracatu",288.8,31.400000000000002,55.0,179.39999999999998,87.80000000000001,47.0,61.6,0.2,0.0,0.0,0.0,180.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.4,0.4,25.4,109.8,78.80000000000001,60.0,175.2,91.0,132.2,56.2,109.2,127.6,53.2,100.4,138.2,81.8,99.60000000000001,88.4,126.99999999999999,8.2
Varginha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.2,0.2,0.0,0.0,0.0,0.0,2.6,0.0,0.0,2.4000000000000004,0.0,0.0,0.0,13.4,0.0,0.0,37.400000000000006,2.4000000000000004,134.8,20.4,117.4,57.0,23.2,1.4,93.2,0.0,29.0,30.8,96.4,41.4,0.0,0.0,0.0,0.0
Viçosa,136.20000000000002,135.39999999999998,26.2,40.0,32.8,2.4,0.6000000000000001,13.8,0.6000000000000001,1.2000000000000002,0.6000000000000001,100.0,0.6000000000000001,0.6000000000000001,0.8,0.8,1.2000000000000002,0.4,1.0,0.6000000000000001,0.8,0.4,55.39999999999999,0.6000000000000001,0.4,1.2000000000000002,0.2,0.2,0.8,0.0,0.0,0.0,7.6,115.6,0.0,40.0,10.8,82.4,10.8,52.6,65.6,41.00000000000001,7.6,60.4,84.80000000000001,32.0,75.2,94.0,5.6,12.6,44.8,82.8,51.8
