"Reg Saúde (CIR)/Municíp Res";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Total"
".....  SAO TIAGO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
".....  TIRADENTES";-;-;-;-;-;-;-;1;-;1;-;-;1;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  BARROSO";-;-;-;-;1;-;2;3;2;2;1;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
".....  LAGOA DOURADA";-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
".....  SANTA CRUZ DE MINAS";-;-;-;-;-;-;2;1;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
".....  CORONEL XAVIER CHAVES";-;-;2;6;2;-;2;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
".....  RESENDE COSTA";-;-;-;-;1;-;-;-;-;1;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  PRADOS";-;-;-;1;2;-;1;-;-;-;-;-;-;-;-;1;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14
".....  NAZARENO";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  SAO VICENTE DE MINAS";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  IBITURUNA";-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  BOM SUCESSO";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
".....  PIEDADE DO RIO GRANDE";-;-;-;-;-;-;-;28;26;15;5;7;1;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;86
"31016 Belo Horizonte/Nova Lima/Santa Luzia";148;228;422;859;987;1316;1333;1722;1397;1157;1349;1342;1060;1084;978;1091;946;892;618;742;602;437;338;1079;199;150;160;119;80;63;189;101;42;46;61;40;35;35;30;31;13;19;-;23540
".....  RAPOSOS";-;1;-;1;-;-;1;-;1;1;-;-;1;-;-;2;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
".....  RIBEIRAO DAS NEVES";11;26;45;152;85;83;97;183;160;120;111;115;91;107;102;103;79;93;41;131;41;105;60;866;21;40;15;18;4;5;8;5;3;14;6;2;4;4;5;14;5;13;-;3193
".....  MOEDA";-;-;1;1;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
".....  SABARA";12;14;17;5;24;9;14;17;16;19;83;49;29;23;20;51;32;14;11;2;4;1;3;4;5;7;8;8;3;6;5;8;2;-;1;2;2;1;2;1;-;-;-;534
".....  BELO HORIZONTE";101;157;298;589;617;793;689;934;879;702;794;741;611;619;556;641;625;610;471;498;473;266;195;149;130;70;98;74;54;36;164;82;28;28;47;29;19;21;17;10;6;6;-;13927
".....  TAQUARACU DE MINAS";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  BELO VALE";-;1;1;-;-;-;-;-;2;3;1;-;1;2;2;1;-;1;-;1;1;-;1;-;-;-;1;1;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;23
".....  NOVA LIMA";1;1;1;9;10;9;15;7;10;5;21;13;14;22;23;13;8;6;5;4;-;2;-;11;2;-;-;4;1;-;-;-;-;1;-;-;1;-;-;3;-;-;-;222
".....  CAETE";2;7;19;32;173;336;415;487;227;201;203;301;215;220;217;156;125;107;35;25;30;21;8;10;10;6;4;1;2;-;-;2;-;-;1;1;3;1;1;1;1;-;-;3606
".....  NOVA UNIAO";-;-;-;-;-;-;1;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;8
".....  RIO ACIMA";-;-;4;2;2;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
".....  JABOTICATUBAS";3;2;8;19;13;14;12;23;28;7;18;9;7;13;13;11;14;9;11;14;11;13;10;1;5;-;1;-;2;2;-;-;1;-;1;1;1;2;-;-;-;-;-;299
".....  SANTA LUZIA";18;19;28;49;63;72;87;67;73;99;116;114;91;76;42;113;63;52;44;67;42;29;57;38;24;26;33;13;14;12;12;4;8;3;5;4;4;6;4;2;1;-;-;1694
"31017 Betim";10;36;71;128;84;129;102;205;207;198;202;275;171;224;230;262;256;212;258;187;186;101;45;35;40;28;42;23;23;17;19;13;10;7;3;4;2;6;3;6;3;2;-;4065
".....  RIO MANSO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  JUATUBA";-;1;2;10;12;5;3;1;3;3;4;1;1;-;-;-;1;4;1;-;2;-;1;2;-;1;1;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;62
".....  MATEUS LEME";2;9;4;4;2;1;2;2;2;-;1;2;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34
".....  FLORESTAL";-;-;-;-;1;-;-;2;-;-;1;1;-;3;-;-;-;-;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
".....  CRUCILANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  MARIO CAMPOS";-;-;1;2;2;-;-;4;2;-;1;-;1;1;-;1;-;2;2;5;3;-;-;4;1;1;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;36
".....  BETIM";3;21;61;101;62;114;92;190;193;183;186;253;156;208;221;248;237;193;220;144;166;85;29;22;24;16;33;19;19;10;9;8;8;6;3;1;2;3;2;2;-;2;-;3555
".....  BONFIM";-;-;-;1;-;-;2;1;-;3;1;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
".....  SAO JOAQUIM DE BICAS";-;2;-;-;-;-;-;1;-;1;1;2;1;-;1;-;-;-;10;13;5;5;3;1;-;-;1;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;50
".....  ESMERALDAS";-;1;1;8;2;4;2;3;3;5;3;9;6;6;1;6;5;3;5;5;4;4;6;2;6;1;2;-;1;3;-;-;-;-;-;1;-;-;-;1;-;-;-;109
".....  IGARAPE";2;1;1;1;1;2;1;-;-;-;1;2;2;1;1;5;10;8;17;12;5;4;4;2;5;9;2;3;2;4;9;2;-;-;-;1;-;1;1;2;2;-;-;126
".....  BRUMADINHO";3;1;1;-;2;3;-;1;4;3;3;5;2;2;2;-;3;2;1;3;-;2;2;1;4;-;1;-;-;-;-;2;1;-;-;1;-;1;-;1;1;-;-;58
".....  PIEDADE DOS GERAIS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31018 Contagem";25;30;46;68;161;175;159;233;270;372;375;393;324;381;294;383;300;248;166;156;135;87;116;78;69;56;49;32;21;14;20;15;12;8;19;11;6;5;6;7;5;1;-;5331
".....  CONTAGEM";6;20;33;66;136;153;138;224;253;357;359;364;312;364;273;363;290;230;155;148;127;76;88;62;57;49;38;26;16;11;15;10;8;5;12;8;3;4;5;5;-;-;-;4869
".....  IBIRITE";3;9;7;1;22;21;19;7;13;10;10;19;9;10;18;9;8;11;7;2;6;2;13;6;6;3;8;3;3;2;1;-;4;3;1;1;1;-;-;1;-;-;-;279
".....  SARZEDO";16;1;6;1;3;1;2;2;4;5;6;10;3;7;3;11;2;7;4;6;2;9;15;10;6;4;3;3;2;1;4;5;-;-;6;2;2;1;1;1;5;1;-;183
"31019 Curvelo";6;13;22;36;71;94;85;151;118;106;115;66;49;47;31;32;29;24;22;26;22;20;22;14;14;6;5;3;6;6;7;3;1;1;1;3;-;2;-;-;-;-;-;1279
".....  TRES MARIAS";-;1;-;1;1;23;7;28;23;3;2;1;1;4;2;2;1;3;-;1;2;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;109
".....  SANTO HIPOLITO";4;11;15;24;56;50;52;65;44;17;23;9;4;7;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;386
".....  BUENOPOLIS";-;1;-;1;1;-;-;10;8;7;5;5;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;41
".....  AUGUSTO DE LIMA";-;-;-;1;2;-;3;-;-;2;6;5;9;5;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35
".....  CORINTO";-;-;-;1;4;3;11;17;8;24;31;27;17;12;3;3;6;2;2;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;175
".....  FELIXLANDIA";-;-;-;3;3;12;6;13;27;36;30;13;13;14;9;22;18;19;17;22;20;17;19;13;13;5;5;3;6;6;6;1;1;-;-;1;-;1;-;-;-;-;-;394
".....  CURVELO";2;-;4;5;2;3;3;12;5;15;11;3;4;3;5;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;1;1;-;1;-;-;-;-;-;86
".....  PRESIDENTE JUSCELINO";-;-;1;-;-;1;1;2;2;-;1;-;-;1;2;-;1;-;1;1;-;2;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
".....  MONJOLOS";-;-;2;-;2;2;2;1;-;-;4;2;-;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
".....  INIMUTABA";-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
".....  MORRO DA GARCA";-;-;-;-;-;-;-;-;1;1;2;1;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"31020 Guanhães";2;2;5;7;14;2;13;16;16;19;30;18;9;11;8;2;2;2;3;-;2;1;1;-;-;-;-;-;1;-;2;2;3;-;1;-;-;-;-;-;-;-;-;194
".....  VIRGINOPOLIS";-;-;3;-;1;1;1;1;4;6;2;2;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;26
".....  SENHORA DO PORTO";-;-;-;-;-;-;1;1;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  DORES DE GUANHAES";1;2;-;2;8;1;7;10;3;3;-;2;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;43
".....  GUANHAES";1;-;2;4;3;-;4;4;8;10;27;11;5;6;6;1;1;2;3;-;1;1;-;-;-;-;-;-;1;-;1;1;2;-;1;-;-;-;-;-;-;-;-;106
".....  DOM JOAQUIM";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SABINOPOLIS";-;-;-;-;1;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
".....  MATERLANDIA";-;-;-;-;1;-;-;-;-;-;-;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  CARMESIA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"31021 Itabira";19;59;52;27;35;37;34;28;42;27;19;22;23;24;27;20;27;22;31;29;14;9;9;13;2;6;-;1;1;-;-;-;8;-;-;-;-;1;1;-;-;-;1;670
".....  SANTA MARIA DE ITABIRA";1;2;-;1;-;1;3;3;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
".....  SANTA BARBARA";7;13;9;9;2;3;2;5;1;1;4;1;-;1;4;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64
".....  FERROS";1;-;1;-;1;3;2;3;2;1;2;1;-;1;1;1;-;1;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25
".....  SANTO ANTONIO DO RIO ABAIXO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SAO GONCALO DO RIO ABAIXO";-;-;-;-;-;-;-;1;1;7;5;2;4;3;6;3;4;4;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44
".....  ITABIRA";10;44;40;16;30;29;27;15;32;12;4;16;16;17;13;14;23;16;28;24;13;7;9;11;2;5;-;1;1;-;-;-;8;-;-;-;-;1;1;-;-;-;1;486
".....  SAO SEBASTIAO DO RIO PRETO";-;-;1;-;-;-;-;-;1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  MORRO DO PILAR";-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  BOM JESUS DO AMPARO";-;-;1;-;-;-;-;1;-;1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  PASSABEM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CATAS ALTAS";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  BARAO DE COCAIS";-;-;-;1;1;1;-;-;2;4;1;-;2;2;2;1;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"31022 Ouro Preto";2;3;1;3;-;3;6;9;7;12;9;10;11;15;13;12;11;4;8;8;2;5;-;3;-;3;-;3;-;2;-;-;-;1;-;-;2;1;-;-;2;-;-;171
".....  OURO PRETO";-;1;-;2;-;-;2;3;2;4;1;2;2;2;2;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25
".....  MARIANA";2;1;1;1;-;2;4;4;3;8;7;7;8;10;9;10;8;4;5;6;2;4;-;2;-;1;-;3;-;2;-;-;-;1;-;-;1;1;-;-;2;-;-;119
".....  ITABIRITO";-;1;-;-;-;1;-;2;2;-;1;1;1;3;2;2;2;-;3;2;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;27
"31023 João Monlevade";2;18;27;87;161;263;222;321;254;271;318;280;201;115;83;45;46;35;28;24;15;16;6;4;1;-;2;-;-;-;-;2;3;2;1;-;-;1;-;2;1;-;-;2857
".....  RIO PIRACICABA";-;1;1;-;1;3;3;6;5;4;2;6;2;2;-;-;-;2;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41
".....  BELA VISTA DE MINAS";-;1;-;4;2;3;4;16;2;5;1;2;5;3;5;2;-;-;7;9;3;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;77
".....  JOAO MONLEVADE";1;14;15;67;126;169;128;174;164;179;257;251;181;92;62;30;41;21;18;12;12;14;4;4;1;-;2;-;-;-;-;2;3;2;1;-;-;1;-;2;1;-;-;2051
".....  SAO DOMINGOS DO PRATA";1;1;1;10;22;21;38;66;52;56;40;14;6;11;10;4;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;355
".....  NOVA ERA";-;1;10;6;10;67;49;59;31;27;18;7;7;7;6;9;4;11;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;333
"31024 Sete Lagoas";433;913;1103;2097;2979;2659;2548;3175;2647;2210;1950;1505;972;905;674;503;375;256;223;147;127;52;56;28;24;43;28;12;9;3;7;7;4;3;3;7;5;5;7;11;7;3;-;28725
".....  PAINEIRAS";-;-;-;-;1;-;-;-;1;-;-;7;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
".....  MARAVILHAS";-;1;-;-;-;1;1;8;10;20;13;4;-;2;4;4;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71
".....  CAETANOPOLIS";2;1;6;7;11;23;27;43;64;56;67;69;63;74;64;29;55;34;23;26;10;4;8;2;3;-;4;-;-;1;1;-;-;-;1;-;-;-;-;1;-;1;-;780
".....  JEQUITIBA";-;-;-;-;4;3;2;2;2;2;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
".....  PEQUI";-;-;-;-;-;-;-;-;-;-;-;7;15;23;20;21;24;39;19;17;11;9;14;10;1;3;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;236
".....  POMPEU";-;2;-;1;1;1;1;9;10;5;24;18;4;1;6;4;-;-;24;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;115
".....  BIQUINHAS";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  FUNILANDIA";13;28;46;52;95;58;22;21;42;31;20;15;5;7;2;2;-;4;2;2;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;470
".....  CEDRO DO ABAETE";-;-;-;-;-;-;1;-;1;1;1;-;-;-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
".....  SETE LAGOAS";395;846;981;1834;2540;2192;2112;2585;1971;1597;1192;860;556;462;307;225;139;82;86;39;48;13;13;7;10;30;13;8;8;2;4;3;4;2;2;5;5;4;6;6;6;2;-;21202
".....  MORADA NOVA DE MINAS";-;-;-;-;-;-;1;-;-;-;-;1;3;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
".....  CORDISBURGO";-;-;1;1;2;1;3;2;5;9;14;2;3;2;10;22;42;23;21;20;3;6;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;196
".....  INHAUMA";1;1;9;9;21;26;26;33;-;4;57;71;43;36;37;19;5;3;1;3;2;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;411
".....  SANTANA DE PIRAPAMA";-;4;8;31;59;70;93;67;42;13;56;29;13;4;4;3;5;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;504
".....  BALDIM";1;1;-;17;14;14;3;21;24;16;25;32;40;37;28;17;7;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;298
".....  PARAOPEBA";9;13;14;34;18;63;32;53;71;82;50;54;31;37;19;19;20;15;15;9;11;2;2;1;1;1;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;682
".....  CAPIM BRANCO";1;1;-;4;2;5;-;2;1;2;-;5;2;2;3;-;-;-;1;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34
".....  CACHOEIRA DA PRATA";1;2;10;15;37;34;30;52;31;11;25;18;7;6;1;8;3;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;295
".....  QUARTEL GERAL";1;1;-;-;-;-;2;2;4;5;8;5;5;8;16;17;29;12;8;15;16;7;4;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;168
".....  ABAETE";-;-;-;3;15;32;46;114;218;263;299;262;145;174;127;84;31;35;15;9;15;9;8;-;2;2;3;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1913
