"Reg Saúde (CIR)/Municíp Res";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Total"
"31070 Araxá";-;-;-;1;1;3;2;3;3;1;4;1;2;4;3;1;1;2;-;-;3;1;-;1;1;2;2;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;44
".....  CAMPOS ALTOS";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  ARAXA";-;-;-;1;-;-;-;3;-;1;2;-;2;3;1;1;-;2;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
".....  IBIA";-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
".....  PERDIZES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  TAPIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  SANTA JULIANA";-;-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  PRATINHA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
".....  PEDRINOPOLIS";-;-;-;-;1;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"31071 Frutal/Iturama";1;6;6;11;7;8;10;11;14;9;23;9;13;35;23;18;27;18;15;9;12;5;4;1;12;7;4;-;2;2;1;1;2;2;-;1;-;1;1;1;-;-;-;332
".....  SAO FRANCISCO DE SALES";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
".....  UNIAO DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  ITURAMA";-;-;-;1;1;-;-;-;-;1;1;-;-;-;-;1;-;1;-;1;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;10
".....  LIMEIRA DO OESTE";-;-;-;-;-;-;-;-;1;-;10;4;6;32;19;12;20;16;10;3;3;1;-;1;7;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;150
".....  FRONTEIRA";1;4;6;6;2;2;5;3;1;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;36
".....  FRUTAL";-;2;-;1;4;5;4;8;11;5;11;5;6;3;2;4;7;-;5;4;6;1;2;-;1;-;3;-;2;1;-;-;-;1;-;1;-;-;1;-;-;-;-;106
".....  PIRAJUBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  PLANURA";-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
".....  CARNEIRINHO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  COMENDADOR GOMES";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  ITAPAGIPE";-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;-;-;1;-;-;2;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"31072 Uberaba";2;4;2;5;11;12;23;17;22;24;46;36;43;33;43;67;81;59;105;104;80;51;54;57;36;21;29;17;21;16;9;8;5;10;2;2;7;3;1;1;1;-;-;1170
".....  SACRAMENTO";-;-;-;-;-;-;-;-;1;2;1;-;3;2;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;1;-;-;-;-;-;-;16
".....  UBERABA";2;4;2;1;4;7;12;4;8;4;13;9;20;16;29;33;47;38;54;45;45;23;31;20;29;11;17;8;9;10;3;5;2;8;2;2;6;3;1;1;1;-;-;589
".....  CAMPO FLORIDO";-;-;-;4;5;5;11;12;13;18;32;24;20;15;12;23;16;15;5;17;17;4;7;6;2;4;7;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;298
".....  CONCEICAO DAS ALAGOAS";-;-;-;-;1;-;-;1;-;-;-;3;-;-;2;9;17;6;46;40;17;23;16;31;5;6;5;9;9;5;5;2;3;1;-;-;-;-;-;-;-;-;-;262
".....  AGUA COMPRIDA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  VERISSIMO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CONQUISTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31073 Ituiutaba";-;2;-;2;1;4;3;8;13;12;17;30;22;24;35;66;47;61;71;102;99;84;98;59;55;46;56;70;29;29;26;16;8;12;9;6;11;10;3;1;2;-;2;1251
".....  GURINHATA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  CENTRALINA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;6;6;1;10;12;12;13;11;13;6;5;3;-;3;1;1;-;-;-;1;-;-;-;-;-;-;-;107
".....  CACHOEIRA DOURADA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
".....  SANTA VITORIA";-;-;-;1;1;1;-;2;2;-;3;5;2;4;7;1;-;2;-;6;1;4;4;3;2;4;3;-;-;-;1;1;-;-;-;-;2;-;-;-;-;-;-;62
".....  CAPINOPOLIS";-;-;-;-;-;-;-;-;-;3;-;2;-;-;-;1;1;-;-;1;1;-;-;-;1;-;2;1;-;-;1;-;-;3;2;-;1;5;-;1;-;-;-;26
".....  IPIACU";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;2;4;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
".....  CAMPINA VERDE";-;1;-;-;-;1;-;-;-;1;3;3;3;1;4;6;9;6;11;22;18;8;6;7;3;4;4;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;124
".....  CANAPOLIS";-;-;-;-;-;-;1;-;1;3;-;-;-;-;2;1;1;2;3;-;2;5;-;6;4;3;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;37
".....  ITUIUTABA";-;1;-;1;-;2;2;6;9;5;11;20;16;17;19;53;28;41;55;62;64;55;71;32;32;29;42;64;29;25;23;11;8;8;7;5;8;5;3;-;2;-;2;873
"31074 Patrocínio/Monte Carmelo";-;-;3;-;1;2;-;-;-;1;3;-;-;1;2;-;-;1;-;1;1;-;-;1;-;-;1;1;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;22
".....  MONTE CARMELO";-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;7
".....  IRAI DE MINAS";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  COROMANDEL";-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  DOURADOQUARA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  ESTRELA DO SUL";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  ABADIA DOS DOURADOS";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
".....  PATROCINIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"31075 Uberlândia/Araguari";11;41;33;72;217;396;415;689;957;879;979;1157;651;504;419;476;457;661;858;898;811;434;354;308;206;190;133;119;83;67;46;43;28;43;40;40;38;49;83;72;56;32;5;14050
".....  PRATA";-;1;1;1;3;5;7;28;46;14;17;22;30;22;20;12;9;24;3;16;5;13;5;2;-;1;2;-;1;3;-;-;-;-;-;-;-;-;2;3;-;1;-;319
".....  NOVA PONTE";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  CASCALHO RICO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  UBERLANDIA";1;14;4;28;109;95;136;284;442;390;459;673;333;346;298;342;329;529;763;834;764;398;323;281;190;181;125;103;73;60;42;41;27;42;40;37;36;38;53;41;37;10;5;9356
".....  ARAGUARI";9;26;28;43;102;295;272;377;467;472;500;460;287;133;99;119;118;107;88;45;33;20;17;17;8;4;2;9;7;4;1;2;1;1;-;2;1;10;28;26;19;21;-;4280
".....  TUPACIGUARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;3;1;2;5;2;4;2;5;1;-;3;-;-;-;-;-;1;1;-;1;-;-;-;34
".....  INDIANOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  MONTE ALEGRE DE MINAS";1;-;-;-;3;1;-;-;1;2;3;2;1;3;1;1;-;1;3;-;5;2;7;3;6;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49
".....  ARAPORA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2
"31076 Manga";3;-;-;2;4;6;3;-;1;1;3;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;26
".....  JUVENILIA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  MIRAVANIA";-;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  MANGA";3;-;-;2;1;1;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
".....  MONTALVANIA";-;-;-;-;-;1;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  SAO JOAO DAS MISSOES";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"31077 João Pinheiro";-;-;-;-;1;-;-;2;4;1;-;1;1;1;1;1;4;1;4;1;3;1;3;4;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;39
".....  JOAO PINHEIRO";-;-;-;-;1;-;-;2;4;1;-;1;1;1;1;1;4;1;4;1;3;1;3;4;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38
".....  BRASILANDIA DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"31078 Congonhas";-;1;1;2;6;3;3;1;13;5;5;8;9;7;5;19;4;6;15;2;-;5;3;3;2;-;-;-;3;2;1;-;1;-;-;-;-;-;-;2;1;-;-;138
".....  ENTRE RIOS DE MINAS";-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  OURO BRANCO";-;1;-;-;5;1;2;-;-;-;1;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;14
".....  JECEABA";-;-;-;-;1;-;-;-;1;-;-;1;1;1;-;5;-;1;6;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
".....  CONGONHAS";-;-;1;-;-;2;-;1;12;4;4;6;6;6;4;13;3;5;9;2;-;5;3;1;2;-;-;-;3;2;1;-;1;-;-;-;-;-;-;1;1;-;-;98
".....  SAO BRAS DO SUACUI";-;-;-;2;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"31079 Conselheiro Lafaiete";2;4;2;3;4;3;6;3;10;9;11;10;9;8;11;9;8;3;1;3;1;-;1;2;-;-;-;-;1;-;-;1;-;3;-;-;-;-;-;1;-;-;-;129
".....  SANTANA DOS MONTES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  CASA GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CATAS ALTAS DA NORUEGA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CRISTIANO OTONI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  RIO ESPERA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  LAMIM";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CONSELHEIRO LAFAIETE";2;4;2;3;4;3;6;3;10;9;10;9;9;7;8;9;7;2;1;2;1;-;1;2;-;-;-;-;1;-;-;1;-;3;-;-;-;-;-;1;-;-;-;120
"31082 São Gotardo";-;-;-;-;-;2;3;2;-;1;1;2;2;2;7;1;4;1;-;2;3;-;2;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39
".....  RIO PARANAIBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  SAO GOTARDO";-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;1;3;1;-;1;3;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
".....  ARAPUA";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  MATUTINA";-;-;-;-;-;1;2;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  CARMO DO PARANAIBA";-;-;-;-;-;1;1;1;-;-;-;1;-;2;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
".....  SANTA ROSA DA SERRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31083 Bocaiúva";8;5;1;5;6;1;-;3;2;1;2;1;-;1;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;42
".....  FRANCISCO DUMONT";-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  GUARACIAMA";-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  BOCAIUVA";8;2;-;5;4;1;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24
".....  JOAQUIM FELICIO";-;-;-;-;1;-;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7
".....  OLHOS-D'AGUA";-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"31084 Montes Claros";37;43;67;77;78;58;43;78;73;43;61;66;34;51;51;46;33;23;25;25;17;9;11;6;9;8;8;14;4;6;6;2;6;2;3;2;10;6;7;6;7;5;-;1166
".....  GLAUCILANDIA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
".....  MONTES CLAROS";37;43;65;76;73;54;38;74;67;43;58;65;31;50;50;41;32;19;24;25;16;9;10;6;8;8;8;14;4;6;6;2;6;2;2;2;10;6;7;6;7;5;-;1115
".....  CLARO DOS POCOES";-;-;1;-;-;1;-;-;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  MIRABELA";-;-;1;1;4;3;5;4;5;-;1;-;3;1;1;5;1;4;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42
"31085 Taiobeiras";-;-;2;3;2;3;4;4;4;11;9;3;3;3;5;8;2;-;2;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;73
".....  TAIOBEIRAS";-;-;1;3;2;2;3;4;4;9;8;3;3;3;3;5;2;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58
".....  INDAIABIRA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  MONTEZUMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
".....  SAO JOAO DO PARAISO";-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  RIO PARDO DE MINAS";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  BERIZAL";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"31086 Divinópolis";4;2;5;5;10;13;15;13;20;26;34;27;21;33;53;59;63;65;101;75;98;53;60;45;35;25;33;20;6;3;6;12;1;4;11;6;6;2;6;4;1;-;-;1081
".....  SAO GONCALO DO PARA";1;-;-;1;-;3;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
".....  SAO SEBASTIAO DO OESTE";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  ARAUJOS";1;-;-;-;-;1;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  DIVINOPOLIS";2;2;5;2;4;8;11;7;18;22;32;25;19;32;52;57;63;65;100;74;98;53;58;43;35;25;33;18;6;3;6;12;1;3;11;6;5;2;6;4;1;-;-;1029
".....  CLAUDIO";-;-;-;-;-;-;-;-;-;1;1;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  PERDIGAO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  CARMO DO CAJURU";-;-;-;2;5;1;3;2;2;-;-;-;2;-;1;1;-;-;1;-;-;-;1;2;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;25
".....  ITAPECERICA";-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"31087 Lagoa da Prata/Santo Antônio do Monte";3;14;14;31;29;54;40;74;67;55;69;75;36;25;18;18;11;8;11;14;8;14;14;6;5;4;6;4;13;10;9;6;9;3;3;2;4;1;1;1;-;-;-;789
